feature,n_groups,recall_min,recall_max,recall_gap,fpr_min,fpr_max,fpr_gap
gender,2,0.7979274611398963,0.8342541436464088,0.0363266825065125,0.3178137651821862,0.3364140480591497,0.018600282876963525
SeniorCitizen,2,0.855072463768116,0.9591836734693876,0.10411120970127163,0.3611416026344676,0.6451612903225806,0.28401968768811303
Partner,2,0.8333333333333334,0.907258064516129,0.07392473118279563,0.2943327239488117,0.5081967213114754,0.2138639973626637
Dependents,2,0.7605633802816901,0.9108910891089108,0.15032770882722069,0.2138888888888888,0.4918518518518519,0.2779629629629631
