model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std,fit_time_mean
logreg,0.662607312555492,0.012684697188017773,0.8457949809273174,0.011419528404327157,0.13493650129580234,0.004426412268077639,0.15370193999260665
catboost,0.6504559333978124,0.019771647175905748,0.8418361101249923,0.007683463203854137,0.13755741473670663,0.004641228701138357,3.794622980058193
mlp,0.6495218810591326,0.021094130282024393,0.84027102220392,0.011006463394212223,0.13782969076130264,0.0052933123778794045,2.808694239985198
lightgbm,0.6389695164471336,0.01899596701896297,0.8370954883111356,0.005780065060809909,0.14059831947286985,0.004434423109769035,0.22657655999064447
xgboost,0.6215675392423481,0.015244531944425233,0.8256561930191534,0.0064183914034410625,0.15108759999275206,0.004958882779135073,0.5171957599930466
dummy,0.2653532460941748,9.424729039040346e-05,0.5,0.0,0.19494090587420038,4.4237138009117775e-05,0.08541133999824524
