group,n,positive_rate,recall,fpr,precision,selection_rate,roc_auc,low_confidence
No,978,0.3098159509202454,0.8910891089108911,0.46074074074074073,0.46471600688468157,0.5940695296523517,0.8354162082874954,False
Yes,431,0.16473317865429235,0.7887323943661971,0.19166666666666668,0.448,0.2900232018561485,0.8507237871674491,False
