group,n,positive_rate,recall,fpr,precision,selection_rate,roc_auc,low_confidence
No,736,0.33695652173913043,0.8951612903225806,0.47540983606557374,0.4889867841409692,0.6168478260869565,0.8276292305658381,False
Yes,673,0.18722139673105498,0.8253968253968254,0.27056672760511885,0.4126984126984127,0.37444279346210996,0.8514262499637271,False
