strategy,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std,fit_time_mean
none,0.6215675392423481,0.015244531944425233,0.8256561930191534,0.0064183914034410625,0.15108759999275206,0.004958882779135073,0.5575629599392414
scale_pos_weight,0.611953314218788,0.014034529298574926,0.8220721108948196,0.0054352504308676965,0.16146593987941743,0.004767697547769052,0.1898211999796331
smotenc,0.6053991086519608,0.024447332580055752,0.8199301961643013,0.008296103684618023,0.16310674846172332,0.00835309787608729,0.9459314200095832
