iter	Logloss
0	0.6875444941
1	0.6839790687
2	0.6794323342
3	0.6746988315
4	0.6695942054
5	0.6654518246
6	0.6608599486
7	0.6567935373
8	0.652862552
9	0.6483355413
10	0.6443671666
11	0.6413252004
12	0.6381848431
13	0.634221448
14	0.6303587383
15	0.6268171026
16	0.6236443906
17	0.6196987241
18	0.6162028811
19	0.6133723795
20	0.6094343918
21	0.6060667859
22	0.6029109853
23	0.5993477155
24	0.596600082
25	0.5931596556
26	0.5894655769
27	0.5863826162
28	0.5833205807
29	0.5807998303
30	0.5784391462
31	0.5761107809
32	0.573987245
33	0.5705435611
34	0.5676140537
35	0.5646508038
36	0.5616834368
37	0.5587651501
38	0.5565207435
39	0.5536262059
40	0.5507654348
41	0.548436053
42	0.5465267597
43	0.5442615928
44	0.5419585665
45	0.5397900753
46	0.5375977303
47	0.5356413757
48	0.5338085409
49	0.5317946913
50	0.5298210529
51	0.5273859504
52	0.5249413269
53	0.5226329187
54	0.5202670599
55	0.5178617948
56	0.516174689
57	0.5139593457
58	0.5124226947
59	0.5101885271
60	0.5086272877
61	0.5064311274
62	0.5046826885
63	0.5030608417
64	0.5016906075
65	0.4998662108
66	0.4981682202
67	0.4964071553
68	0.4955358023
69	0.4939617132
70	0.4921836616
71	0.4902016866
72	0.4886354196
73	0.4869946085
74	0.4855355291
75	0.4834621905
76	0.4821158077
77	0.4807754267
78	0.4793274383
79	0.478436038
80	0.4770680169
81	0.4755356025
82	0.4738454695
83	0.4725293931
84	0.4711537228
85	0.4701194438
86	0.4691718107
87	0.4674126503
88	0.46553999
89	0.4646037184
90	0.4631669518
91	0.4618100834
92	0.4605152556
93	0.4594388706
94	0.4577655855
95	0.4563209868
96	0.4547786047
97	0.4537521463
98	0.4521935393
99	0.4505139312
100	0.4491491802
101	0.4479172541
102	0.4469213044
103	0.4451411499
104	0.4440847567
105	0.4428517107
106	0.4416210164
107	0.4403044472
108	0.4391541584
109	0.4380956199
110	0.4368746573
111	0.4356682716
112	0.4342991807
113	0.4333173931
114	0.4324352545
115	0.43154333
116	0.4306114957
117	0.4296356378
118	0.4284231027
119	0.4274729604
120	0.4266877563
121	0.4257305061
122	0.424433236
123	0.423197314
124	0.4215607062
125	0.4204880016
126	0.4196925489
127	0.4186939802
128	0.4176828969
129	0.4167542503
130	0.4157226247
131	0.414534609
132	0.4135799538
133	0.4129060392
134	0.4119825688
135	0.4110484552
136	0.4099263623
137	0.4090946064
138	0.4082294568
139	0.4071510874
140	0.4060925841
141	0.4054160872
142	0.4043868087
143	0.4036359223
144	0.4030289515
145	0.4021529058
146	0.4014774542
147	0.4003645467
148	0.3995575595
149	0.3989926882
150	0.3984740921
151	0.3974416348
152	0.3967779789
153	0.396063105
154	0.3953629634
155	0.3948477328
156	0.3934278184
157	0.3927611063
158	0.3921144546
159	0.3913476737
160	0.3908444106
161	0.3901660298
162	0.3895208244
163	0.3886240529
164	0.3878570256
165	0.3869715209
166	0.385886945
167	0.3852471498
168	0.3846392506
169	0.3838404675
170	0.383116005
171	0.3821445571
172	0.381446879
173	0.3810868181
174	0.380615157
175	0.3799510784
176	0.3793031329
177	0.3786521734
178	0.377980496
179	0.377394543
180	0.3766348876
181	0.3760489267
182	0.3755737512
183	0.374775914
184	0.3738227908
185	0.3733347696
186	0.3728991014
187	0.3725356235
188	0.3718465201
189	0.3711999499
190	0.3704370718
191	0.3697478308
192	0.3691659201
193	0.3688443295
194	0.3680985726
195	0.3674632407
196	0.366950083
197	0.3661645797
198	0.3655328884
199	0.3647628964
200	0.3644130745
201	0.363671542
202	0.3634150405
203	0.3629849463
204	0.3625227646
205	0.3621329278
206	0.361698944
207	0.3612122938
208	0.3604831111
209	0.3597916798
210	0.3594590729
211	0.3592886304
212	0.358842638
213	0.3581951224
214	0.3575146661
215	0.3569124698
216	0.3561802553
217	0.355656796
218	0.355401446
219	0.355014825
220	0.3544992479
221	0.3539697371
222	0.3534304965
223	0.3530034522
224	0.3525995772
225	0.3523559948
226	0.3519096795
227	0.3513603454
228	0.351278025
229	0.3507497852
230	0.3502020855
231	0.3497309809
232	0.3489521088
233	0.3485260107
234	0.3481096249
235	0.347760724
236	0.3471000009
237	0.346873408
238	0.3465416621
239	0.3459218878
240	0.3453397689
241	0.3449627764
242	0.3446519508
243	0.3444972844
244	0.344118664
245	0.3437582509
246	0.3433122366
247	0.342674451
248	0.3424670329
249	0.3416594804
250	0.3413817435
251	0.3407103143
252	0.3402725415
253	0.3396057932
254	0.3390550894
255	0.3386465165
256	0.3380769612
257	0.3379686504
258	0.337579053
259	0.3368892565
260	0.3364602293
261	0.3361954254
262	0.3357780092
263	0.3353427162
264	0.3349313091
265	0.3345835823
266	0.3339722227
267	0.3336138564
268	0.3332536027
269	0.3326082318
270	0.3319746216
271	0.3315025298
272	0.3311236309
273	0.3307171735
274	0.3303636203
275	0.329885118
276	0.3293001532
277	0.3289786604
278	0.3286002504
279	0.3284163882
280	0.3278290157
281	0.3274170864
282	0.3267635317
283	0.3264373298
284	0.3260675285
285	0.3256601628
286	0.325223749
287	0.324995543
288	0.3246094302
289	0.3242119405
290	0.3238992743
291	0.3237384303
292	0.3234780071
293	0.3230077074
294	0.322606333
295	0.3220284164
296	0.3216586027
297	0.3212598528
298	0.3207729523
299	0.3202127474
300	0.3194977701
301	0.3191169442
302	0.3190324723
303	0.318784556
304	0.3184202796
305	0.3180830599
306	0.31763318
